Fold,Epoch,Loss,Train_Acc,Test_Acc,Precision,Recall,Train_CM,Test_CM
5,15,0.7095931172370911,0.7790893760539629,0.7559055118110236,0.8548387096774194,0.7066666666666667,"[[637, 94], [299, 749]]","[[43, 9], [22, 53]]"
5,16,0.7111225128173828,0.7970770095559303,0.7874015748031497,0.8333333333333334,0.8,"[[601, 130], [231, 817]]","[[40, 12], [15, 60]]"
5,17,0.6904487013816833,0.7953906689151209,0.7795275590551181,0.7974683544303798,0.84,"[[561, 170], [194, 854]]","[[36, 16], [12, 63]]"
5,18,0.6918345093727112,0.7959527824620574,0.7874015748031497,0.8,0.8533333333333334,"[[552, 179], [184, 864]]","[[36, 16], [11, 64]]"
5,19,0.6953639984130859,0.7993254637436762,0.7795275590551181,0.7974683544303798,0.84,"[[564, 167], [190, 858]]","[[36, 16], [12, 63]]"
5,20,0.678929328918457,0.806070826306914,0.7795275590551181,0.8051948051948052,0.8266666666666667,"[[587, 144], [201, 847]]","[[37, 15], [13, 62]]"
6,0,1.402658224105835,0.5907813378302417,0.5905511811023622,0.592,0.9866666666666667,"[[3, 728], [0, 1048]]","[[1, 51], [1, 74]]"
6,1,2.1997811794281006,0.5907813378302417,0.5905511811023622,0.592,0.9866666666666667,"[[6, 725], [3, 1045]]","[[1, 51], [1, 74]]"
6,2,1.7606403827667236,0.6374367622259697,0.6535433070866141,0.6347826086956522,0.9733333333333334,"[[166, 565], [80, 968]]","[[10, 42], [2, 73]]"
6,3,1.2852134704589844,0.6346261944912872,0.6850393700787402,0.7868852459016393,0.64,"[[583, 148], [502, 546]]","[[39, 13], [27, 48]]"
6,4,0.9740437865257263,0.5272625070264193,0.5196850393700787,0.8888888888888888,0.21333333333333335,"[[714, 17], [824, 224]]","[[50, 2], [59, 16]]"
6,5,1.1435565948486328,0.5087127599775154,0.5196850393700787,1.0,0.18666666666666668,"[[725, 6], [868, 180]]","[[52, 0], [61, 14]]"
6,6,1.0364246368408203,0.6115795390668916,0.5905511811023622,0.896551724137931,0.3466666666666667,"[[704, 27], [664, 384]]","[[49, 3], [49, 26]]"
6,7,0.915173351764679,0.746486790331647,0.7480314960629921,0.8115942028985508,0.7466666666666667,"[[566, 165], [286, 762]]","[[39, 13], [19, 56]]"
6,8,0.7970025539398193,0.7082630691399663,0.7244094488188977,0.7040816326530612,0.92,"[[301, 430], [89, 959]]","[[23, 29], [6, 69]]"
6,9,0.7993906736373901,0.698707138842046,0.7086614173228346,0.6862745098039216,0.9333333333333333,"[[260, 471], [65, 983]]","[[20, 32], [5, 70]]"
6,10,0.858269214630127,0.7240022484541877,0.7322834645669292,0.711340206185567,0.92,"[[329, 402], [89, 959]]","[[24, 28], [6, 69]]"
6,11,0.8187957406044006,0.776840921866217,0.7637795275590551,0.7777777777777778,0.84,"[[498, 233], [164, 884]]","[[34, 18], [12, 63]]"
6,12,0.7619256377220154,0.7633501967397415,0.7795275590551181,0.8852459016393442,0.72,"[[630, 101], [320, 728]]","[[45, 7], [21, 54]]"
6,13,0.751605212688446,0.7380550871275998,0.7637795275590551,0.9090909090909091,0.6666666666666666,"[[667, 64], [402, 646]]","[[47, 5], [25, 50]]"
6,14,0.7279634475708008,0.7358066329398538,0.7637795275590551,0.9090909090909091,0.6666666666666666,"[[673, 58], [412, 636]]","[[47, 5], [25, 50]]"
6,15,0.7383652925491333,0.7549184935356942,0.7874015748031497,0.9137931034482759,0.7066666666666667,"[[655, 76], [360, 688]]","[[47, 5], [22, 53]]"
6,16,0.7146809101104736,0.7852726250702642,0.8031496062992126,0.8787878787878788,0.7733333333333333,"[[611, 120], [262, 786]]","[[44, 8], [17, 58]]"
6,17,0.6965921521186829,0.7998875772906127,0.8188976377952756,0.8611111111111112,0.8266666666666667,"[[546, 185], [171, 877]]","[[42, 10], [13, 62]]"
6,18,0.6849608421325684,0.7987633501967397,0.7952755905511811,0.8024691358024691,0.8666666666666667,"[[504, 227], [131, 917]]","[[36, 16], [10, 65]]"
6,19,0.7074998021125793,0.7965148960089938,0.7952755905511811,0.8024691358024691,0.8666666666666667,"[[495, 236], [126, 922]]","[[36, 16], [10, 65]]"
6,20,0.701568603515625,0.8026981450252951,0.8031496062992126,0.8289473684210527,0.84,"[[526, 205], [146, 902]]","[[39, 13], [12, 63]]"
6,21,0.6752482056617737,0.8111298482293423,0.8188976377952756,0.8513513513513513,0.84,"[[569, 162], [174, 874]]","[[41, 11], [12, 63]]"
6,22,0.6625730395317078,0.8094435075885329,0.7795275590551181,0.8615384615384616,0.7466666666666667,"[[613, 118], [221, 827]]","[[43, 9], [19, 56]]"
6,23,0.6500521898269653,0.7959527824620574,0.7716535433070866,0.8833333333333333,0.7066666666666667,"[[643, 88], [275, 773]]","[[45, 7], [22, 53]]"
6,24,0.6545278429985046,0.7863968521641371,0.7637795275590551,0.8813559322033898,0.6933333333333334,"[[647, 84], [296, 752]]","[[45, 7], [23, 52]]"
6,25,0.6464990377426147,0.7875210792580101,0.7637795275590551,0.8813559322033898,0.6933333333333334,"[[651, 80], [298, 750]]","[[45, 7], [23, 52]]"
6,26,0.6476415395736694,0.7925801011804384,0.7637795275590551,0.8813559322033898,0.6933333333333334,"[[645, 86], [283, 765]]","[[45, 7], [23, 52]]"
7,0,1.091886043548584,0.5890949971894323,0.5905511811023622,0.5905511811023622,1.0,"[[0, 731], [0, 1048]]","[[0, 52], [0, 75]]"
7,1,2.467684268951416,0.5885328836424958,0.5905511811023622,0.5905511811023622,1.0,"[[0, 731], [1, 1047]]","[[0, 52], [0, 75]]"
7,2,2.1579861640930176,0.6087689713322091,0.5984251968503937,0.5983606557377049,0.9733333333333334,"[[44, 687], [9, 1039]]","[[3, 49], [2, 73]]"
7,3,1.3218919038772583,0.6863406408094435,0.6062992125984252,0.7659574468085106,0.48,"[[586, 145], [413, 635]]","[[41, 11], [39, 36]]"
7,4,0.8831189274787903,0.4390106801573918,0.41732283464566927,0.6666666666666666,0.02666666666666667,"[[728, 3], [995, 53]]","[[51, 1], [73, 2]]"
7,5,1.2940590381622314,0.4176503653738055,0.4094488188976378,0.0,0.0,"[[731, 0], [1036, 12]]","[[52, 0], [75, 0]]"
